src,mt,pe,ref,lp,score
"Excipients: Sodium hydroxide, glacial acetic acid, sorbitol, polysorbate 80, water for injections.","Palīgvielas: nātrija hidroksīds, ledus etiķskābe, sorbīts, polisorbāts 80, ūdens injekcijām.","Palīgvielas: nātrija hidroksīds, ledus etiķskābe, sorbīts, polisorbāts 80, ūdens injekcijām.","Palīgvielas: nātrija hidroksīds, ledus etiķskābe, sorbīts, polisorbāts 80, ūdens injekcijām.",en-lv,0.0
"There are no differences in the pharmacokinetics of aripiprazole between healthy elderly and younger adult subjects, nor is there any detectable effect of age in a population pharmacokinetic analysis in schizophrenic patients.","Aripiprazola farmakokinētika nav pētīta veseliem gados vecākiem un jaunākiem pieaugušiem cilvēkiem, ne klīniskā nozīme populācijas farmakokinētikas analīzē šizofrēnijas slimniekiem.","Aripiprazola farmakokinētika nav pētīta veseliem gados vecākiem un jaunākiem pieaugušiem pacientiem, nav novērota arī iedarbības atšķirība pa vecuma grupām šizofrēnijas slimnieku populācijas farmakokinētikas analīzē.","Aripiprazola farmakokinētikā nav atšķirības starp veseliem vecāka gadagājuma cilvēkiem un jauniem pieaugušajiem, nav atklāta vecuma ietekme arī populācijas farmakokinētikas analīzē šizofrēnijas slimniekiem.",en-lv,0.46153846153846156
"No dose adjustment is necessary based on gender, race, or body mass index (BMI).","Devas pielāgošana, pamatojoties uz dzimumu, rasi vai ķermeņa masas indeksu (ĶMI).","Devas pielāgošana, pamatojoties uz dzimumu, rasi vai ķermeņa masas indeksu (ĶMI), nav nepieciešama.","Vecuma, rases vai ķermeņa masas indeksa (ĶMI) dēļ devas pielāgošana nav nepieciešama.",en-lv,0.15789473684210525
It is important to maintain good oral hygiene when being treated with ADROVANCE.,Ārstēšanas ar ADROVANCE gadījumā ir svarīgi uzturēt labu mutes dobuma higiēnu.,Ārstēšanas ar ADROVANCE gadījumā ir svarīgi uzturēt labu mutes dobuma higiēnu.,Lietojot terapijā ADROVANCE ir svarīgi uzturēt labu mutes dobuma higiēnu.,en-lv,0.0
Caelyx should not be used in people who may be hypersensitive (allergic) to doxorubicin hydrochloride or any of the other ingredients.,Caelyx nedrīkst lietot cilvēki ar paaugstinātu jutību (alerģiju) pret doksorubicīna hidrohlorīdu vai kādu citu šo zāļu sastāvdaļu.,Caelyx nedrīkst lietot cilvēki ar paaugstinātu jutību (alerģiju) pret doksorubicīna hidrohlorīdu vai kādu citu šo zāļu sastāvdaļu.,Caelyx nedrīkst lietot cilvēki ar paaugstinātu jutību (alerģiju) pret doksorubicīna hidrohlorīdu vai kādu citu šo zāļu sastāvdaļu.,en-lv,0.0
What you need to know before you receive Focetria,Kas Jums jāzina pirms Focetria lietošanas,Kas Jums jāzina pirms Focetria lietošanas,Kas jāzina pirms vakcinēšanās ar Focetria,en-lv,0.0
Aclasta is also used in patients who have recently broken their hip in a minor trauma such as a fall and therefore are at risk of subsequent bone breaks.,"Aclasta lieto arī pacientiem, kuriem nesen veikta gūžas locītavas operācija, piemēram, kritums, un tādēļ pastāv turpmāko kaulu lūzumu risks.","Aclasta lieto arī pacientiem, kuriem nesen vieglas traumas, piemēram, kritiena dēļ radies gūžas lūzums un tādēļ pastāv turpmāku kaulu lūzumu risks.","Aclasta lieto arī pacientiem, kuriem nesen nelielas traumas (piemēram, kritiena) rezultātā bijis gūžas kaula lūzums, un tādēļ pastāv palielināts atkārtotu kaulu lūzumu risks.",en-lv,0.36
Studies in healthy volunteers and patients with diabetes demonstrated that insulin glulisine is more rapid in onset of action and of shorter duration of action than regular human insulin when given subcutaneously.,"Pētījumi veseliem brīvprātīgajiem un cukura diabēta slimniekiem parādīja, ka glulizīna insulīns ir straujāk straujam darbības sākums un īslaicīgāka darbības ilgums nekā regulārajam cilvēka insulīnam, ja to ievada subkutāni.","Pētījumi veseliem brīvprātīgajiem un cukura diabēta slimniekiem parādīja, ka glulizīna insulīns iedarbojas ātrāk un tam ir īsāks darbības ilgums nekā parastajam cilvēka insulīnam, ja to ievada subkutāni.","Pētījumi veseliem brīvprātīgajiem un cukura diabēta pacientiem rāda, ka glulizīna insulīnam ir ātrāks darbības sākums un īslaicīgāka darbība nekā regulārajam cilvēka insulīnam, ja to ievada subkutāni.",en-lv,0.26666666666666666
The product may contain traces of hamster proteins (see Do not take BeneFIX).,Produkts var saturēt nelielu daudzumu kāmju olbaltumu (skatīt Nelietojiet BeneFIX).,Produkts var saturēt nelielu daudzumu kāmju olbaltumu (skatīt sadaļu Nelietojiet BeneFIX).,Zāles var saturēt nelielu daudzumu kāmja olbaltumvielu (skatīt sadaļu „Nelietojiet BeneFIX šādos gadījumos”).,en-lv,0.07142857142857142
MabCampath is given as an infusion lasting about two hours.,MabCampath ievada ar divu stundu ilgas infūzijas veidā.,MabCampath ievada divu stundu ilgas infūzijas veidā.,MabCampath ievada ar apmēram divu stundu ilgu infūziju.,en-lv,0.125
